Country,Year,Uso de Internet (% de la población),United Nations m49 country code,Source
Togo,1978,0.0,768,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1979,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Botswana,1979,0.0,072,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1979,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Burundi,1979,0.0,108,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1979,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Grenada,1979,0.0,308,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1979,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Maldives,1979,0.0,462,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1979,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Syrian Arab Republic,1979,0.0,760,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1979,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
Thailand,1979,0.0,764,World Bank - World Development Indicators. Series code: IT.NET.USER.ZS https://github.com/open-numbers/ddf--open_numbers--world_development_indicators
